,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Kenya,25.09,25.50,26.28,26.74,26.11,25.05,24.06,23.44,23.83,24.59,25.37,25.08,25.03
"Rift Valley",23.09,23.24,24.04,24.39,23.92,23.12,22.23,21.73,22.09,22.94,23.48,22.98,22.91
Nyanza,22.01,22.38,22.78,22.84,22.32,21.84,21.31,20.93,21.48,21.87,22.47,21.97,21.88
Western,21.24,21.76,22.18,22.32,21.90,21.14,20.47,20.21,20.45,20.69,21.35,21.26,21.19
Coast,26.66,27.56,28.05,28.59,27.93,26.44,25.29,24.52,25.14,25.33,26.69,27.25,27.17
Central,16.67,16.98,17.68,18.08,17.89,17.02,15.75,14.95,15.18,16.17,17.14,16.68,16.55
Nairobi,19.14,19.83,20.42,20.86,20.34,19.21,17.75,16.76,17.28,18.75,19.93,19.34,19.25
Eastern,25.60,25.88,26.84,27.26,26.62,25.57,24.59,23.91,24.32,25.27,26.11,25.50,25.34
"North Eastern",27.83,28.44,29.29,29.95,29.04,27.79,26.70,26.05,26.30,27.12,27.81,27.67,27.80
